code,label
"    maintainer='root',
    maintainer_email='root@todo.todo',
    description='TODO: Package description',
    license='Apache-2.0',",buggy
"from pathlib import Path

        (str(Path('share') / package_name / 'assets'), list(map(str, Path('./assets').glob('*.png')))),
        (str(Path('share') / package_name / 'config'), list(map(str, Path('./config').glob('*.yaml')))),
        (str(Path('share') / package_name / 'launch'), list(map(str, Path('./launch').glob('*.xml')))),
        (str(Path('share') / package_name / 'models'), list(map(str, Path('./models').glob('*.blob')))),
        (str(Path('share') / package_name / 'models'), list(map(str, Path('./models').glob('*.yaml')))),
    maintainer='Duke Robotics',
    maintainer_email='hello@duke-robotics.com',
    description='Computer Vision pipeline, including DepthAI and HSV filtering.',
    license='MIT',
            'bin_detector = cv.bin_detector:main',
            'blue_rectangle_detector = cv.blue_rectangle_detector:main',
            'buoy_detector_contour_matching = cv.buoy_detector_contour_matching:main',
            'depthai_camera_connect = cv.depthai_camera_connect:main',
            'depthai_mono_detection = cv.depthai_mono_detection:main',
            'depthai_publish_save_streams = cv.depthai_publish_save_streams:main',
            'depthai_spatial_detection = cv.depthai_spatial_detection:main',
            'path_marker_detector = cv.path_marker_detector:main',
            'pink_bins_detector = cv.pink_bins_detector:main',
            'usb_camera_connect = cv.usb_camera_connect:main',
            'usb_camera = cv.usb_camera:main',",bug-free
"import requests
import json 
from datetime import datetime, timedelta, timezone
    project=""slimeify"",  # Google Cloud project ID
    database=""mlb-sluggers""  # Must be declared if it's not ""(default)""

# Function to construct the team logo URL
def get_team_logoUrl(teamId):
    return f'https://www.mlbstatic.com/team-logos/{teamId}.svg'
    teams = [
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/109.svg"",
                    ""name"": ""Arizona Diamondbacks"",
                    ""shortName"": ""D-backs"",
                    ""teamId"": 109
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/133.svg"",
                    ""name"": ""Athletics"",
                    ""shortName"": ""Athletics"",
                    ""teamId"": 133
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/144.svg"",
                    ""name"": ""Atlanta Braves"",
                    ""shortName"": ""Braves"",
                    ""teamId"": 144
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/110.svg"",
                    ""name"": ""Baltimore Orioles"",
                    ""shortName"": ""Orioles"",
                    ""teamId"": 110
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/111.svg"",
                    ""name"": ""Boston Red Sox"",
                    ""shortName"": ""Red Sox"",
                    ""teamId"": 111
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/112.svg"",
                    ""name"": ""Chicago Cubs"",
                    ""shortName"": ""Cubs"",
                    ""teamId"": 112
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/145.svg"",
                    ""name"": ""Chicago White Sox"",
                    ""shortName"": ""White Sox"",
                    ""teamId"": 145
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/113.svg"",
                    ""name"": ""Cincinnati Reds"",
                    ""shortName"": ""Reds"",
                    ""teamId"": 113
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/114.svg"",
                    ""name"": ""Cleveland Guardians"",
                    ""shortName"": ""Guardians"",
                    ""teamId"": 114
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/115.svg"",
                    ""name"": ""Colorado Rockies"",
                    ""shortName"": ""Rockies"",
                    ""teamId"": 115
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/116.svg"",
                    ""name"": ""Detroit Tigers"",
                    ""shortName"": ""Tigers"",
                    ""teamId"": 116
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/117.svg"",
                    ""name"": ""Houston Astros"",
                    ""shortName"": ""Astros"",
                    ""teamId"": 117
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/118.svg"",
                    ""name"": ""Kansas City Royals"",
                    ""shortName"": ""Royals"",
                    ""teamId"": 118
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/108.svg"",
                    ""name"": ""Los Angeles Angels"",
                    ""shortName"": ""Angels"",
                    ""teamId"": 108
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/119.svg"",
                    ""name"": ""Los Angeles Dodgers"",
                    ""shortName"": ""Dodgers"",
                    ""teamId"": 119
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/146.svg"",
                    ""name"": ""Miami Marlins"",
                    ""shortName"": ""Marlins"",
                    ""teamId"": 146
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/158.svg"",
                    ""name"": ""Milwaukee Brewers"",
                    ""shortName"": ""Brewers"",
                    ""teamId"": 158
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/142.svg"",
                    ""name"": ""Minnesota Twins"",
                    ""shortName"": ""Twins"",
                    ""teamId"": 142
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/121.svg"",
                    ""name"": ""New York Mets"",
                    ""shortName"": ""Mets"",
                    ""teamId"": 121
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/147.svg"",
                    ""name"": ""New York Yankees"",
                    ""shortName"": ""Yankees"",
                    ""teamId"": 147
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/143.svg"",
                    ""name"": ""Philadelphia Phillies"",
                    ""shortName"": ""Phillies"",
                    ""teamId"": 143
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/134.svg"",
                    ""name"": ""Pittsburgh Pirates"",
                    ""shortName"": ""Pirates"",
                    ""teamId"": 134
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/135.svg"",
                    ""name"": ""San Diego Padres"",
                    ""shortName"": ""Padres"",
                    ""teamId"": 135
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/137.svg"",
                    ""name"": ""San Francisco Giants"",
                    ""shortName"": ""Giants"",
                    ""teamId"": 137
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/136.svg"",
                    ""name"": ""Seattle Mariners"",
                    ""shortName"": ""Mariners"",
                    ""teamId"": 136
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/138.svg"",
                    ""name"": ""St. Louis Cardinals"",
                    ""shortName"": ""Cardinals"",
                    ""teamId"": 138
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/139.svg"",
                    ""name"": ""Tampa Bay Rays"",
                    ""shortName"": ""Rays"",
                    ""teamId"": 139
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/140.svg"",
                    ""name"": ""Texas Rangers"",
                    ""shortName"": ""Rangers"",
                    ""teamId"": 140
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/141.svg"",
                    ""name"": ""Toronto Blue Jays"",
                    ""shortName"": ""Blue Jays"",
                    ""teamId"": 141
                },
                {
                    ""logoUrl"": ""https://www.mlbstatic.com/team-logos/120.svg"",
                    ""name"": ""Washington Nationals"",
                    ""shortName"": ""Nationals"",
                    ""teamId"": 120
                }
            ]
    return jsonify(teams), 200

    # URL for the MLB API
    # teams_endpoint_url = 'https://statsapi.mlb.com/api/v1/teams?sportId=1'

    # try:
        # Fetch data from the MLB API
        # response = requests.get(teams_endpoint_url)
        # response.raise_for_status()  # Raise exception for HTTP errors
        # data = response.json()

        # Parse and format team data
        # teams = []
        # for team in data['teams']:
          #  team_data = {
          #      'teamId': team['id'],
          #      'name': team['name'],
          #      'shortName': team['teamName'],
          #      'logoUrl': get_team_logoUrl(team['id'])
          #  }
          #  teams.append(team_data)

        # Sort teams alphabetically by name
        #teams_sorted = sorted(teams, key=lambda x: x['name'])
        #return jsonify(teams_sorted)

    #except requests.exceptions.RequestException as e:
        #return jsonify({""error"": str(e)}), 500
@app.route(""/highlights/<int:teamId>"", methods=[""GET""])
def get_highlights(teamId):
        query = highlights_ref.where(""homeTeam.team_id"", ""=="", teamId).stream()
        query_away = highlights_ref.where(""awayTeam.team_id"", ""=="", teamId).stream()
        # Combine results from both queries
        results = []
        for doc in query:
            highlight = doc.to_dict()
            if ""storyboard"" in highlight and isinstance(highlight[""storyboard""], list) and highlight[""storyboard""]:
                results.append(highlight)
        for doc in query_away:
            highlight = doc.to_dict()
            if ""storyboard"" in highlight and isinstance(highlight[""storyboard""], list) and highlight[""storyboard""]:
                results.append(highlight)
        # Remove duplicates (if any) based on gamePk
        results = {item[""gamePk""]: item for item in results}.values()
        # Sort by gameDate in descending order
        results = sorted(results, key=lambda h: h[""gameDate""], reverse=True)
        # Return results or 404 if none found
            return jsonify({""error"": ""No highlights found for the specified team""}), 404
        return jsonify(results), 200
        # Log and return the error
        print(f""Error fetching highlights for team {teamId}: {e}"")
#Endpoint to create a new highlight
        if not isinstance(data[""homeTeam""], dict) or not isinstance(data[""awayTeam""], dict):
        # Validate 'storyboard' array
        if not isinstance(data[""storyboard""], list) or not all(isinstance(item, dict) for item in data[""storyboard""]):
            return jsonify({""error"": ""'storyboard' must be an array of objects.""}), 400
        # Validate each storyboard item
        for item in data[""storyboard""]:
            if ""storyTitle"" not in item or ""teaserSummary"" not in item or ""scenes"" not in item:
                return jsonify({""error"": ""Each storyboard must include 'storyTitle', 'teaserSummary', and 'scenes'.""}), 400
            if not isinstance(item[""scenes""], list):
                return jsonify({""error"": ""Each storyboard's 'scenes' must be an array.""}), 400
        
        data[""gameDate""] = datetime.fromisoformat(data[""gameDate""].replace(""Z"", ""+00:00""))
        print(f""Error adding highlight: {e}"")
# PROCESSING HIGHLIGHTS
# API edndpoint: /highlights/process/{teamId}
# Variables and functions for processing MLB schedule for final and upcoming games

MLB_API_BASE_URL = ""https://statsapi.mlb.com/api/v1/schedule""

def fetch_schedule(team_id, season):
    """"""Fetches schedule data from MLB Stats API""""""
    url = f""{MLB_API_BASE_URL}?sportId=1&season={season}&teamId={team_id}""
    response = requests.get(url)
    if response.status_code != 200:
        print(f""Error fetching schedule: {response.text}"")
        return None
    return response.json()

# Function to publish message to Pub/Sub to kick off Gem/Imagen processing
def trigger_ai_processing(game_pk):
    """"""Publishes a message to Pub/Sub to start AI processing.""""""
    message = json.dumps({""gamePk"": game_pk}).encode(""utf-8"")
    future = publisher.publish(topic_path, message)
    print(f""AI Processing triggered for game {game_pk}, ID: {future.result()}"")

# Function to process past finalized games
def process_past_games(team_id, season):
    """"""Processes finalized past games, updates status in Firestore, and triggers AI processing.""""""
    try:
        data = fetch_schedule(team_id, season)
        if not data or ""dates"" not in data:
            print(f""No data fetched for team {team_id}, season {season}."")
            return []

        highlights = []
        current_date = datetime.utcnow().replace(tzinfo=timezone.utc)

        for date_entry in data[""dates""]:
            for game in date_entry[""games""]:
                game_pk_str = str(game[""gamePk""])  # Convert gamePk to string
                game_date = datetime.fromisoformat(game[""gameDate""].replace(""Z"", ""+00:00"")).astimezone(timezone.utc)
                game_status = game[""status""].get(""abstractGameState"", """")

                # Only process games that are Final
                if game_status == ""Final"":
                    doc_ref = db.collection(""highlights"").document(game_pk_str)
                    doc_snapshot = doc_ref.get()

                    if doc_snapshot.exists:
                        stored_data = doc_snapshot.to_dict()

                        # Update only if the status has changed
                        if stored_data.get(""status"") != ""Final"":
                            doc_ref.update({""status"": ""Final"", ""updatedAt"": datetime.utcnow().replace(tzinfo=timezone.utc)})
                            print(f""Updated game {game_pk_str} to Final in Firestore."")

                            # Trigger AI Processing
                            trigger_ai_processing(game_pk_str)
                        else:
                            print(f""Game {game_pk_str} already marked Final, skipping update."")

                    else:
                        # Insert new record
                        highlight = {
                            ""gamePk"": game_pk_str,
                            ""gameDate"": game[""gameDate""],
                            ""homeTeam"": {
                                ""team_id"": game[""teams""][""home""][""team""][""id""],
                                ""name"": game[""teams""][""home""][""team""][""name""],
                                ""shortName"": game[""teams""][""home""][""team""].get(""abbreviation"", """"),
                                ""logo_url"": f""https://www.mlbstatic.com/team-logos/{game['teams']['home']['team']['id']}.svg""
                            },
                            ""awayTeam"": {
                                ""team_id"": game[""teams""][""away""][""team""][""id""],
                                ""name"": game[""teams""][""away""][""team""][""name""],
                                ""shortName"": game[""teams""][""away""][""team""].get(""abbreviation"", """"),
                                ""logo_url"": f""https://www.mlbstatic.com/team-logos/{game['teams']['away']['team']['id']}.svg""
                            },
                            ""status"": game[""status""][""detailedState""],
                            ""updatedAt"": datetime.utcnow().replace(tzinfo=timezone.utc),
                            ""createdAt"": datetime.utcnow().replace(tzinfo=timezone.utc),
                        }
                        doc_ref.set(highlight)
                        print(f""Inserted new game {game_pk_str} in Firestore."")

                        # Trigger AI Processing
                        trigger_ai_processing(game_pk_str)

                    highlights.append(game_pk_str)

        print(f""Processed {len(highlights)} finalized highlights for team {team_id}."")
        return highlights
    except Exception as e:
        print(f""Error processing past games: {e}"")
        return []

# Publishes a message when an upcoming game is detected
def publish_game_status_event(game_pk, game_date, max_retries=3):
    """"""Publishes a message to Pub/Sub with retry logic.""""""
    message = json.dumps({""gamePk"": game_pk, ""gameDate"": game_date}).encode(""utf-8"")
    for attempt in range(1, max_retries + 1):
            future = publisher.publish(topic_path, message)
            message_id = future.result(timeout=10)  # Wait for a result
            print(f""Successfully published game {game_pk} to Pub/Sub (Message ID: {message_id})"")
            return
        except Exception as e:
            print(f""Attempt {attempt}: Failed to publish Pub/Sub message for game {game_pk}. Error: {e}"")
            if attempt < max_retries:
                wait_time = 2 ** attempt  # Exponential backoff (2s, 4s, 8s)
                print(f""Retrying in {wait_time} seconds..."")
                time.sleep(wait_time)
            else:
                print(f""Failed to publish Pub/Sub message after {max_retries} attempts. Giving up."")

# Checks for upcoming games & sends pubsub message
def check_next_game(team_id, season):
    """"""Finds the next upcoming game within the next 7 days and stores it in the 'highlights' collection.""""""
    try:
        data = fetch_schedule(team_id, season)
        if not data or ""dates"" not in data:
            print(f""No schedule data found for team {team_id}, season {season}."")
            return None

        current_date = datetime.utcnow().replace(tzinfo=timezone.utc)
        next_game = None

        for date_entry in data[""dates""]:
            for game in date_entry[""games""]:
                game_date = datetime.fromisoformat(game[""gameDate""].replace(""Z"", ""+00:00"")).astimezone(timezone.utc)

                if game_date > current_date and game_date <= current_date + timedelta(days=7):
                    game_pk = str(game[""gamePk""])
                    doc_ref = db.collection(""highlights"").document(game_pk)

                    # Check if game already exists in Firestore
                    if not doc_ref.get().exists:
                        next_game = {
                            ""gamePk"": game_pk,
                            ""gameDate"": game[""gameDate""],
                            ""homeTeam"": {
                                ""team_id"": game[""teams""][""home""][""team""][""id""],
                                ""name"": game[""teams""][""home""][""team""][""name""],
                                ""shortName"": game[""teams""][""home""][""team""].get(""abbreviation"", """"),
                                ""logo_url"": f""https://www.mlbstatic.com/team-logos/{game['teams']['home']['team']['id']}.svg""
                            },
                            ""awayTeam"": {
                                ""team_id"": game[""teams""][""away""][""team""][""id""],
                                ""name"": game[""teams""][""away""][""team""][""name""],
                                ""shortName"": game[""teams""][""away""][""team""].get(""abbreviation"", """"),
                                ""logo_url"": f""https://www.mlbstatic.com/team-logos/{game['teams']['away']['team']['id']}.svg""
                            },
                            ""status"": game[""status""][""detailedState""],
                            ""updatedAt"": datetime.utcnow().replace(tzinfo=timezone.utc),
                            ""createdAt"": datetime.utcnow().replace(tzinfo=timezone.utc)
                        }
                        
                        doc_ref.set(next_game)
                        print(f""Stored upcoming game {game_pk} in 'highlights' collection."")

                        # Publish event to Pub/Sub for game status tracking
                        publish_game_status_event(game_pk, game[""gameDate""])
                    
                    return next_game

        return None
    except Exception as e:
        print(f""Error checking next game: {e}"")
        return None
# Endpoint to process final game data and queue upcoming games
@app.route(""/highlights/process/<int:teamId>/<int:season>"", methods=[""GET""])
def process_highlights(teamId, season):
    """"""API endpoint to process past games and find next upcoming game""""""
    try:
        current_year = datetime.utcnow().year
        if season < current_year:
            return jsonify({""error"": f""Invalid season: {season}. The season must be {current_year} or later.""}), 400
        past_highlights = process_past_games(teamId, season)
        next_game = check_next_game(teamId, season)
        return jsonify({
            ""processedHighlights"": past_highlights,
            ""nextGame"": next_game if next_game else ""No upcoming games within 7 days.""
        }), 200
        print(f""Error processing highlights: {e}"")
@app.route(""/highlights/<string:gamePk>"", methods=[""PATCH""])
def update_highlight(gamePk):
        doc_ref = db.collection(""highlights"").document(gamePk)
            return jsonify({""error"": f""Highlight with gamePk {gamePk} not found""}), 404
        return jsonify({""message"": f""Highlight {gamePk} updated successfully""}), 200
        print(f""Error updating highlight {gamePk}: {e}"")
import functions_framework
import json
from google.cloud import firestore, pubsub_v1
# Automatically retrieves the best available credentials
credentials, project = default()
# Initialize Firestore and Pub/Sub
# Initialize Firestore and Pub/Sub
    project=""slimeify"",  # Google Cloud project ID
    database=""mlb-sluggers""  # Must be declared if it's not ""(default)""
publisher = pubsub_v1.PublisherClient()

        # Simulate AI-generated assets
        bucket_name = ""mlb-sluggers-assets""
        image_url = f""https://storage.googleapis.com/{bucket_name}/game_{game_pk}_highlight.jpg""
        audio_url = f""https://storage.googleapis.com/{bucket_name}/game_{game_pk}_audio.mp3""

                #Everything works this is commented out so things dont overwrite a valid record while testing
                #doc_ref = db.collection(""highlights"").document(str(game_pk))
                #doc_ref.update({
                #    ""storyboard"": [put the good stuff in here]
                #})
                print(f""AI processing complete for game {game_pk}. Firestore updated."")
                print(f""Attempt {attempt}: Failed to update Firestore for game {game_pk}. Error: {e}"")
                    print(f""Firestore update failed after {max_retries} attempts. Logging error."")
                    return {""error"": f""Failed to update Firestore for game {game_pk}""}
import functions_framework
import json
from google.cloud import firestore, pubsub_v1
from google.cloud import pubsub_v1

# Automatically retrieves the best available credentials
credentials, project = default()
# Initialize Firestore and Pub/Sub
    project=""slimeify"",  # Google Cloud project ID
    database=""mlb-sluggers""  # Must be declared if it's not ""(default)""",buggy
"import logging
from datetime import datetime, timezone


from apps.backend.api.highlight_generation.highlight_generator import generate_game_highlights
from apps.backend.api.mlb_data_fetching.team_schedules_processor import process_past_games, check_next_game
from apps.backend.config import PROJECT_ID, DATABASE_ID
from apps.backend.utils.constants import TEAMS, ISO_FORMAT
    project=PROJECT_ID,  # Your Google Cloud project ID
    database=DATABASE_ID
    return jsonify(TEAMS), 200
@app.route(""/highlights/<int:team_id>"", methods=[""GET""])
def get_highlights(team_id):
        query_home = highlights_ref.where(""homeTeam"", ""=="", team_id).stream()
        query_away = highlights_ref.where(""awayTeam"", ""=="", team_id).stream()

        results = {}
        def process_query(query, label):
            print(f""Processing {label} query for team ID {team_id}..."")
            for doc in query:
                highlight = doc.to_dict()
                game_pk = highlight.get(""gamePk"")
                # Validate storyboard existence (now a dict, not a list)
                if game_pk and isinstance(highlight.get(""storyboard""), dict):
                    results[game_pk] = highlight  # Store highlight by gamePk
        # Process both queries
        process_query(query_home, ""home"")
        process_query(query_away, ""away"")
        # If no results, return 404
            print(f""No highlights found for team {team_id}."")
            return jsonify({""error"": f""No highlights found for team {team_id}""}), 404

        # Ensure sorting by gameDate in descending order
        sorted_highlights = sorted(results.values(), key=lambda h: h[""gameDate""], reverse=True)

        return jsonify({""highlights"": sorted_highlights}), 200
        print(f""Error fetching highlights for team {team_id}: {e}"")
# Endpoint to create a new highlight
        if not isinstance(data[""homeTeam""], int) or not isinstance(data[""awayTeam""], int):
        # Validate 'storyboard' - it must be a dictionary
        if not isinstance(data.get(""storyboard""), dict):
            return jsonify({""error"": ""'storyboard' must be an object, not an array.""}), 400
        # Validate required storyboard fields
        required_storyboard_fields = [""storyTitle"", ""teaserSummary"", ""scenes""]
        missing_storyboard_fields = [field for field in required_storyboard_fields if field not in data[""storyboard""]]
        if missing_storyboard_fields:
            return jsonify(
                {""error"": f""Missing required storyboard fields: {', '.join(missing_storyboard_fields)}""}), 400

        # Validate 'scenes' inside storyboard - it must be a list of objects
        if not isinstance(data[""storyboard""][""scenes""], list) or not all(
                isinstance(scene, dict) for scene in data[""storyboard""][""scenes""]):
            return jsonify({""error"": ""'scenes' inside 'storyboard' must be an array of objects.""}), 400

        data[""gameDate""] = datetime.fromisoformat(data[""gameDate""].replace(""Z"", ISO_FORMAT))
        logging.error(f""Error adding highlight: {e}"")
# Endpoint to process final game data and queue upcoming games
@app.route(""/highlights/process/<int:season>/"", methods=[""GET""])
def process_highlights(season):
    """"""API endpoint to process past games for a specific season, requiring a date and optionally filtering by team.""""""
    try:
        # Get required date param
        date_param = request.args.get(""date"")
        if not date_param:
            return jsonify({""error"": ""Missing required parameter: date (YYYY-MM-DD)""}), 400
        # Validate date format
            datetime.strptime(date_param, ""%Y-%m-%d"")  # Validate format
        except ValueError:
            return jsonify({""error"": ""Invalid date format. Use YYYY-MM-DD.""}), 400
        # Get optional team filter
        team_param = request.args.get(""teamId"")
        team_id = int(team_param) if team_param else None
        # Process past games for the specific date (team filter is optional)
        past_highlights = process_past_games(season, team_id, date_param)
        next_game = check_next_game(season, team_id, date_param)
        response = {
            ""processedHighlights"": past_highlights,
            ""nextGame"": next_game if next_game else ""No upcoming games within 7 days."",
            ""message"": f""Highlights processed for {date_param} {f'and team {team_id}' if team_id else ''}""
        }
        return jsonify(response), 200
    except Exception as e:
        logging.error(f""Error processing highlights: {e}"")
        return jsonify({""error"": f""An internal error occurred - {str(e)}""}), 500
@app.route(""/highlights/generate/<string:game_pk>"", methods=[""GET""])
def generate_highlights(game_pk):
    try:
        generated_highlights = generate_game_highlights(game_pk)
        return jsonify(generated_highlights), 200
        # Log and return the error
        logging.error(f""Error generating highlights for game_pk: {game_pk}: {e}"")


@app.route(""/highlights/<string:game_pk>"", methods=[""PATCH""])
def update_highlight(game_pk):
        doc_ref = db.collection(""highlights"").document(game_pk)
            return jsonify({""error"": f""Highlight with gamePk {game_pk} not found""}), 404
        return jsonify({""message"": f""Highlight {game_pk} updated successfully""}), 200
        logging.error(f""Error updating highlight {game_pk}: {e}"")

import json
import os

import functions_framework
from google.cloud import firestore
from apps.backend.config import PROJECT_ID, DATABASE_ID
    project=PROJECT_ID,
    database=DATABASE_ID

API_BASE_URL = os.getenv(""SLIME_API_BASE_URL"")
# Automatically retrieves the best available credentials
credentials, project = default()

                # Call the Flask API endpoint
                response = requests.get(f""{API_BASE_URL}highlights/generate/{game_pk}"")
                if response.status_code != 200:
                    raise Exception(f""API call failed with status {response.status_code}: {response.text}"")
                print(f""AI processing complete for game {game_pk}. API call successful."")
                print(f""Attempt {attempt}: Failed to process game {game_pk}. Error: {e}"")
                    print(f""Processing failed after {max_retries} attempts. Logging error."")
                    return {""error"": f""Failed to process game {game_pk}""}
import json

import functions_framework
from google.cloud import firestore, pubsub_v1
    project = ""slimeify"",  # Your Google Cloud project ID
    database = ""mlb-sluggers""

# Initialize Pub/Sub Publisher
game_status_topic_path = publisher.topic_path(""slimeify"", ""sluggers-process-game-status"")
# Automatically retrieves the best available credentials
credentials, project = default()
",bug-free
"from gs.sun import ephemeris
from gs.sun import ephemeris_parser as ep
from gs.sun.ephemeris import DataPoint, ErrorCode
from gs.sun import ephemeris
from gs.sun import ephemeris_parser as ep
",buggy
"from gs.backend.sun import ephemeris
from gs.backend.sun import ephemeris_parser as ep
from gs.backend.sun.ephemeris import DataPoint, ErrorCode
from gs.backend.sun import ephemeris
from gs.backend.sun import ephemeris_parser as ep
",bug-free
"from packaging.version import Version as PackageVersion
        # XXX: Prerelease or postrelease specifiers will fail here, but I guess we can
        # just ignore them for now.
    @classmethod
    def equal_to(cls, version: PackageVersion) -> ""PySpecSet"":
        """"""Create a specifierset that is equal to the given version.""""""
        if not version.is_prerelease:
            return cls(f""=={version}"")
        spec = cls(f""=={version}"", analyze=False)
        spec._upper_bound = Version((version.major, version.minor, 0))
        lower_bound = Version((version.major, version.minor - 1))
        spec._lower_bound = lower_bound.complete(
            cls.PY_MAX_MINOR_VERSION[lower_bound] + 1
        )
        return spec

        if lower[-1] == 0:
        if upper[-1] == 0:
from typing import Any, Tuple, Union, cast, overload
    parts are kept, plus prereleases or postreleases are not supported.
            try:
                version = cast(
                    Tuple[VersionBit, ...],
                    tuple(int(v) if v != ""*"" else v for v in version_str.split("".""))[
                        :3
                    ],
                )
            except ValueError:
                raise InvalidPyVersion(
                    f""{version_str}: Prereleases or postreleases are not supported ""
                    ""for python version specifers.""
                )
        return type(self)(new_tuple)
        Increment the last version bit by default.
        head, value = version[:idx], int(version[idx])
        return type(self)((*head, value + 1)).complete()
        return ""."".join(map(str, self._version))
        return self._version == other._version
        def comp_key(version: Version) -> Tuple[int, ...]:
            return tuple(-1 if v == ""*"" else v for v in version._version)
        return hash(self._version)
            env.python_requires = PySpecSet.equal_to(self.python.version)
def test_unsupported_prerelease_version():
        Version(""3.9.0a4"")",buggy
"        if lower[-1] == 0 and not lower.is_prerelease:
        if upper[-1] == 0 and not upper.is_prerelease:
from typing import Any, List, Optional, Tuple, Union, overload
PRE_RELEASE_SEGMENT_RE = re.compile(
    r""(?P<digit>\d+)(?P<type>a|b|rc)(?P<n>\d*)"",
    flags=re.IGNORECASE,
)
    parts are kept, plus optional prerelease suffix.

    This is a slightly different purpose than packaging.version.Version which is
    focused on supporting PEP 440 version identifiers, not specifiers.
    # Pre-release may follow version with {a|b|rc}N
    # https://docs.python.org/3/faq/general.html#how-does-the-python-version-numbering-scheme-work
    pre: Optional[Tuple[str, int]] = None
            bits: List[VersionBit] = []
            for v in version_str.split(""."")[:3]:
                try:
                    bits.append(int(v))
                except ValueError:
                    pre_m = PRE_RELEASE_SEGMENT_RE.match(v)
                    if v == ""*"":
                        bits.append(""*"")
                        break  # .* is only allowed at the end, per PEP 440
                    elif pre_m:
                        bits.append(int(pre_m.group(""digit"")))
                        pre_type = pre_m.group(""type"").lower()
                        pre_n = int(pre_m.group(""n"") or ""0"")
                        self.pre = (pre_type, pre_n)
                        break  # pre release version is only at the end
                    else:
                        raise InvalidPyVersion(
                            f""{version_str}: postreleases are not supported ""
                            ""for python version specifiers.""
                        )
            version = tuple(bits)
        ret = type(self)(new_tuple)
        ret.pre = self.pre
        return ret
        If index is not provided: increment the last version bit unless version
        is a pre-release, in which case, increment the pre-release number.
        if idx == -1 and self.pre:
            ret = type(self)(version).complete()
            ret.pre = (self.pre[0], self.pre[1] + 1)
        else:
            head, value = version[:idx], int(version[idx])
            ret = type(self)((*head, value + 1)).complete()
            ret.pre = None
        return ret
    @property
    def is_prerelease(self) -> bool:
        """"""Check if the version is a prerelease.""""""
        return self.pre is not None

        parts = []
        parts.append(""."".join(map(str, self._version)))

        if self.pre:
            parts.append("""".join(str(x) for x in self.pre))

        return """".join(parts)
        return self._version == other._version and self.pre == other.pre
        def comp_key(version: Version) -> List[float]:
            ret: List[float] = [-1 if v == ""*"" else v for v in version._version]
            if version.pre:
                # Get the ascii value of first character, a < b < r[c]
                ret += [ord(version.pre[0][0]), version.pre[1]]
            else:
                ret += [float(""inf"")]

            return ret
        return hash((self._version, self.pre))
            env.python_requires = PySpecSet(f""=={self.python.version}"")
def test_unsupported_post_version() -> None:
        Version(""3.10.0post1"")


def test_support_prerelease_version() -> None:
    assert not Version(""3.9.0"").is_prerelease
    v = Version(""3.9.0a4"")
    assert v.is_prerelease
    assert str(v) == ""3.9.0a4""
    assert v.complete() == v
    assert v.bump() == Version(""3.9.0a5"")
    assert v.bump(2) == Version(""3.9.1"")
    assert Version(""3.9.0a"") != Version(""3.9.0"")
    assert Version(""3.9.0a"") == Version(""3.9.0a0"")
    assert Version(""3.10.0a9"") < Version(""3.10.0a12"")
    assert Version(""3.10.0a12"") < Version(""3.10.0b1"")
    assert Version(""3.7.*"") < Version(""3.7.1b"")
",bug-free
"root.mainloop()










",buggy
root.mainloop(),bug-free
